t,x,y,theta,v,w
37.665,1.0817,0.5759,1.8946,0.0000,0.0000
37.765,1.0817,0.5759,1.8946,0.0000,0.0000
37.865,1.0817,0.5759,1.8946,0.0000,0.0000
37.965,1.0817,0.5759,1.8946,0.0000,0.0000
38.065,1.0817,0.5759,1.8946,0.0000,0.0000
38.165,1.0817,0.5759,1.8946,0.0000,0.0000
38.265,1.0817,0.5759,1.8946,0.0000,0.0000
38.366,1.0817,0.5759,1.8946,0.0000,0.0000
38.463,1.0817,0.5759,1.8946,0.0000,0.0000
38.565,1.0817,0.5759,1.8946,0.0000,0.0000
38.665,1.0817,0.5759,1.8946,0.0000,0.0000
38.765,1.0817,0.5759,1.8946,0.0000,0.0000
38.865,1.0817,0.5759,1.8946,0.0000,0.0000
38.965,1.0817,0.5759,1.8946,0.0000,0.0000
39.063,1.0817,0.5759,1.8946,0.0000,0.0000
39.165,1.0817,0.5759,1.8946,0.0000,0.0000
39.265,1.0817,0.5759,1.8946,0.0000,0.0000
39.365,1.0817,0.5759,1.8946,0.0000,0.0000
39.465,1.0817,0.5759,1.8946,0.0000,0.0000
39.565,1.0817,0.5759,1.8946,0.0000,0.0000
39.665,1.0817,0.5759,1.8946,0.0000,0.0000
39.765,1.0817,0.5759,1.8946,0.0000,0.0000
39.865,1.0817,0.5759,1.8946,0.0000,0.0000
39.964,1.0817,0.5759,1.8946,0.0000,0.0000
40.064,1.0817,0.5759,1.8946,0.0000,0.0000
40.165,1.0817,0.5759,1.8946,0.0000,0.0000
40.264,1.0817,0.5759,1.8946,0.0000,0.0000
40.365,1.0817,0.5759,1.8946,0.0000,0.0000
40.465,1.0817,0.5759,1.8946,0.0000,0.0000
40.566,1.0817,0.5759,1.8946,0.0000,0.0000
40.666,1.0817,0.5759,1.8946,0.0000,0.0000
40.765,1.0817,0.5759,1.8946,0.0000,0.0000
40.865,1.0817,0.5759,1.8946,0.0000,0.0000
40.965,1.0817,0.5759,1.8946,0.0000,0.0000
41.065,1.0817,0.5759,1.8946,0.0000,0.0000
41.165,1.0817,0.5759,1.8946,0.0000,0.0000
41.263,1.0817,0.5759,1.8946,0.0000,0.0000
41.376,1.0817,0.5759,1.8946,0.0000,0.0000
41.475,1.0817,0.5759,1.8946,0.0000,0.0000
41.566,1.0817,0.5759,1.8946,0.0000,0.0000
41.665,1.0817,0.5759,1.8946,0.0000,0.0000
41.764,1.0817,0.5759,1.8946,0.0000,0.0000
41.875,1.0817,0.5759,1.8946,0.0000,0.0000
41.965,1.0817,0.5759,1.8946,0.0000,0.0000
42.065,1.0817,0.5759,1.8946,0.0000,0.0000
42.165,1.0817,0.5759,1.8946,0.0000,0.0000
42.266,1.0817,0.5759,1.8946,0.0000,0.0000
42.364,1.0817,0.5759,1.8946,0.0000,0.0000
42.465,1.0817,0.5759,1.8946,0.0000,0.0000
42.565,1.0817,0.5759,1.8946,0.0000,0.0000
42.665,1.0817,0.5759,1.8946,0.0000,0.0000
42.765,1.0817,0.5759,1.8946,0.0000,0.0000
42.866,1.0817,0.5759,1.8946,0.0000,0.0000
42.965,1.0817,0.5759,1.8946,0.0000,0.0000
43.064,1.0817,0.5759,1.8946,0.0000,0.0000
43.164,1.0817,0.5759,1.8946,0.0000,0.0000
43.265,1.0817,0.5759,1.8946,0.0000,0.0000
43.365,1.0817,0.5759,1.8946,0.0000,0.0000
43.475,1.0817,0.5759,1.8946,0.0000,0.0000
43.565,1.0817,0.5759,1.8946,0.0000,0.0000
43.665,1.0817,0.5759,1.8946,0.0000,0.0000
43.766,1.0817,0.5759,1.8946,0.0000,0.0000
43.865,1.0817,0.5759,1.8946,0.0000,0.0000
43.965,1.0817,0.5759,1.8946,0.0000,0.0000
44.065,1.0817,0.5759,1.8946,0.0000,0.0000
44.165,1.0817,0.5759,1.8946,0.0000,0.0000
44.263,1.0817,0.5759,1.8946,0.0000,0.0000
44.363,1.0817,0.5759,1.8946,0.0000,0.0000
44.463,1.0817,0.5759,1.8946,0.0000,0.0000
44.564,1.0817,0.5759,1.8946,0.0000,0.0000
44.665,1.0817,0.5759,1.8946,0.0000,0.0000
44.765,1.0817,0.5759,1.8946,0.0000,0.0000
44.866,1.0817,0.5759,1.8946,0.0000,0.0000
44.965,1.0817,0.5759,1.8946,0.0000,0.0000
45.083,1.0817,0.5759,1.8946,0.0000,0.0000
45.165,1.0817,0.5759,1.8946,0.0000,0.0000
45.265,1.0817,0.5759,1.8946,0.0000,0.0000
45.365,1.0817,0.5759,1.8946,0.0000,0.0000
45.465,1.0817,0.5759,1.8946,0.0000,0.0000
45.573,1.0817,0.5759,1.8946,0.0000,0.0000
45.675,1.0817,0.5759,1.8946,0.0000,0.0000
45.766,1.0817,0.5759,1.8946,0.0000,0.0000
45.865,1.0817,0.5759,1.8946,0.0000,0.0000
45.964,1.0817,0.5759,1.8946,0.0000,0.0000
46.065,1.0817,0.5759,1.8946,0.0000,0.0000
46.165,1.0817,0.5759,1.8946,0.0000,0.0000
46.265,1.0817,0.5759,1.8946,0.0000,0.0000
46.365,1.0817,0.5759,1.8946,0.0000,0.0000
46.465,1.0817,0.5759,1.8946,0.0000,0.0000
46.563,1.0817,0.5759,1.8946,0.0000,0.0000
46.664,1.0817,0.5759,1.8946,0.0000,0.0000
46.763,1.0817,0.5759,1.8946,0.0000,0.0000
46.865,1.0817,0.5759,1.8946,0.0000,0.0000
46.965,1.0817,0.5759,1.8946,0.0000,0.0000
47.065,1.0817,0.5759,1.8946,0.0000,0.0000
47.166,1.0817,0.5759,1.8946,0.0000,0.0000
47.265,1.0817,0.5759,1.8946,0.0000,0.0000
47.363,1.0817,0.5759,1.8946,0.0000,0.0000
47.465,1.0817,0.5759,1.8946,0.0000,0.0000
